Disaster_ID,Disaster_Type,Location,Magnitude,Date,Fatalities,Economic_Loss_in_Million_$,Buildings collapsed,probability
1,Wildfire,Brazil,6.267392628,1999,3,455,N/A,N/A
2,Hurricane,Indonesia,6.649357863,2019,0,873,N/A,N/A
3,Tornado,China,9.724365973,2011,23,1058,N/A,N/A
4,Flood,India,1.702505013,2005,5,231,N/A,N/A
5,Flood,Brazil,7.917748011,2010,28,966,N/A,N/A
6,Tornado,China,2.717113009,2017,1,318,N/A,N/A
7,Hurricane,India,6.491890634,2016,3,1304,N/A,N/A
8,Earthquake,China,1.856923229,2013,0,607,N/A,N/A
9,Flood,Brazil,8.157574165,2019,0,1004,N/A,N/A
10,Flood,India,1.024186643,2016,1,169,N/A,N/A
11,Earthquake,Indonesia,5.88357775,2017,4,847,N/A,N/A
12,Flood,USA,9.465754017,2010,39,2467,N/A,N/A
13,Earthquake,USA,4.300627937,2017,2,1564,N/A,N/A
14,Earthquake,China,6.263993804,2001,1,1590,N/A,N/A
15,Earthquake,Indonesia,5.809271085,2013,1,790,N/A,N/A
16,Hurricane,Japan,6.850348156,2018,2,1357,N/A,N/A
17,Tornado,Indonesia,8.368748853,2015,1,411,N/A,N/A
18,Wildfire,India,4.813664804,2018,1,635,N/A,N/A
19,Earthquake,Japan,3.212779905,1999,0,513,N/A,N/A
20,Earthquake,Japan,6.682305453,2008,1,1338,N/A,N/A
21,Earthquake,India,4.360807293,2005,2,883,N/A,N/A
22,Hurricane,USA,5.672028929,2015,0,2072,N/A,N/A
23,Hurricane,Indonesia,8.802211795,1997,27,765,N/A,N/A
24,Hurricane,USA,3.619608238,2006,0,1046,N/A,N/A
25,Wildfire,USA,2.211183422,2011,1,424,N/A,N/A
26,Flood,China,2.003895813,1993,0,272,N/A,N/A
27,Hurricane,Brazil,9.696287973,2006,1,1529,N/A,N/A
28,Flood,Indonesia,5.933946342,2015,1,533,N/A,N/A
29,Flood,China,7.015748036,1997,36,1049,N/A,N/A
30,Tornado,India,8.254696502,2013,21,748,N/A,N/A
31,Hurricane,Indonesia,9.709790987,1993,2,800,N/A,N/A
32,Hurricane,China,6.896664401,2002,1,1490,N/A,N/A
33,Flood,Brazil,5.551984642,2019,0,689,N/A,N/A
34,Hurricane,Japan,6.104293091,2014,1,1092,N/A,N/A
35,Wildfire,Brazil,9.558284598,2014,26,954,N/A,N/A
36,Earthquake,Japan,3.257477711,2016,1,676,N/A,N/A
37,Hurricane,China,9.728581333,2015,0,2624,N/A,N/A
38,Flood,Indonesia,5.48967754,2012,2,456,N/A,N/A
39,Tornado,Brazil,5.486963915,1998,1,264,N/A,N/A
40,Tornado,China,2.305826966,2005,2,223,N/A,N/A
41,Tornado,Japan,4.66563278,2009,0,348,N/A,N/A
42,Flood,China,7.327488742,2017,27,1530,N/A,N/A
43,Hurricane,Indonesia,6.981626731,2001,5,674,N/A,N/A
44,Hurricane,Brazil,1.150600311,2007,2,164,N/A,N/A
45,Tornado,Brazil,6.696509951,2001,1,375,N/A,N/A
46,Earthquake,India,5.715135625,2005,0,1185,N/A,N/A
47,Wildfire,Brazil,9.449193924,2007,39,764,N/A,N/A
48,Flood,Indonesia,1.42232338,2012,4,128,N/A,N/A
49,Hurricane,Japan,3.263131099,2003,1,513,N/A,N/A
50,Tornado,India,7.816876538,2009,1,648,N/A,N/A
51,Earthquake,India,6.208250878,2015,2,1487,N/A,N/A
52,Earthquake,Brazil,6.485559902,2012,2,1160,N/A,N/A
53,Earthquake,Japan,6.832108511,1997,0,992,N/A,N/A
54,Hurricane,China,4.132590791,1998,1,913,N/A,N/A
55,Hurricane,USA,4.477801955,1993,2,980,N/A,N/A
56,Flood,Indonesia,5.258579682,2000,3,330,N/A,N/A
57,Wildfire,India,1.827413713,1999,1,180,N/A,N/A
58,Hurricane,Japan,1.144731116,2016,2,222,N/A,N/A
59,Earthquake,Indonesia,4.665254232,1998,3,424,N/A,N/A
60,Wildfire,India,4.792581086,2014,0,534,N/A,N/A
61,Wildfire,USA,8.852628279,2005,28,1650,N/A,N/A
62,Tornado,Indonesia,4.732585813,1999,0,195,N/A,N/A
63,Flood,India,5.922554137,2017,2,915,N/A,N/A
64,Tornado,Indonesia,7.417040025,2003,24,299,N/A,N/A
65,Earthquake,China,5.372696337,2007,1,1430,N/A,N/A
66,Wildfire,India,7.155038558,2002,2,672,N/A,N/A
67,Earthquake,Brazil,4.981389345,1998,1,621,N/A,N/A
68,Earthquake,Japan,5.947146213,2017,1,1337,N/A,N/A
69,Flood,Indonesia,3.393287746,2016,4,309,N/A,N/A
70,Flood,China,2.735551735,2019,0,610,N/A,N/A
71,Tornado,China,9.468281154,1998,29,917,N/A,N/A
72,Flood,Japan,2.651490478,1998,1,287,N/A,N/A
73,Flood,China,6.638911376,2011,3,1192,N/A,N/A
74,Hurricane,China,6.628269612,1992,1,1279,N/A,N/A
75,Hurricane,Indonesia,3.384161148,2010,2,383,N/A,N/A
76,Hurricane,China,5.913238863,2001,1,1402,N/A,N/A
77,Tornado,Brazil,1.419720196,2009,1,90,N/A,N/A
78,Tornado,China,2.281545614,2013,1,267,N/A,N/A
79,Flood,Brazil,7.516481676,2003,2,746,N/A,N/A
80,Flood,Brazil,1.683837508,1997,1,139,N/A,N/A
81,Tornado,Brazil,5.407125582,2010,2,368,N/A,N/A
82,Tornado,India,1.527597021,2015,2,144,N/A,N/A
83,Earthquake,Brazil,4.810963446,2018,1,894,N/A,N/A
84,Flood,USA,6.101049481,2008,0,1375,N/A,N/A
85,Hurricane,China,2.053683904,1992,1,399,N/A,N/A
86,Earthquake,Japan,5.842763725,1998,1,792,N/A,N/A
87,Earthquake,Japan,3.340665407,1998,1,535,N/A,N/A
88,Earthquake,Indonesia,6.983197497,2008,1,841,N/A,N/A
89,Wildfire,China,4.358859576,2017,2,825,N/A,N/A
90,Earthquake,Indonesia,6.338638415,1999,1,610,N/A,N/A
91,Hurricane,Japan,1.339403348,2019,0,274,N/A,N/A
92,Wildfire,India,7.374062268,2011,1,874,N/A,N/A
93,Hurricane,India,4.603349951,1990,2,533,N/A,N/A
94,Wildfire,Indonesia,9.231381334,2017,39,673,N/A,N/A
95,Earthquake,Japan,2.467183672,2005,0,419,N/A,N/A
96,Wildfire,China,2.704069672,1994,2,274,N/A,N/A
97,Wildfire,Brazil,1.095390378,2002,0,77,N/A,N/A
98,Hurricane,Brazil,9.685262922,2003,1,1275,N/A,N/A
99,Tornado,Brazil,2.02185101,2016,2,152,N/A,N/A
100,Tornado,Japan,6.095448585,2000,0,393,N/A,N/A
101,Flood,Indonesia,5.050843581,2007,1,411,N/A,N/A
